member_id,join_date,cancel_date,gender,age,zip_code,membership_type
M0570,2024-10-16,,M,35,46201,Classic
M0571,2024-04-06,,F,25,46220,Classic
M0572,2022-05-09,2023-02-02,M,41,46220,Classic
M0573,2024-11-30,,M,58,46201,Classic
M0574,2023-01-13,,F,22,46220,Classic
M0575,2023-04-13,,M,40,46203,Classic
M0576,2023-03-09,2023-06-28,F,50,46205,Classic
M0577,2024-08-20,,Other,37,46220,Black Card
M0578,2023-06-04,,F,55,46203,Classic
M0579,2023-11-10,,F,63,46205,Classic
M0580,2023-11-02,,F,36,46201,Classic
M0581,2023-07-08,,F,36,46203,Classic
M0582,2024-11-07,,M,33,46250,Black Card
M0583,2023-01-11,2023-10-01,Other,35,46205,Black Card
M0584,2024-09-25,,F,50,46203,Black Card
M0585,2024-08-25,,M,47,46250,Classic
M0586,2022-08-21,2023-12-13,M,44,46201,Classic
M0587,2024-04-21,,F,32,46250,Classic
M0588,2023-06-13,,Other,63,46205,Classic
M0589,2023-12-22,,M,49,46201,Classic
M0590,2022-10-02,,M,48,46205,Black Card
M0591,2022-01-22,,F,60,46250,Classic
M0592,2023-06-05,,F,33,46201,Black Card
M0593,2023-04-03,,F,63,46220,Classic
M0594,2022-12-06,2023-09-21,M,42,46250,Black Card
M0595,2023-04-09,,M,52,46201,Classic
M0596,2022-02-16,2023-04-09,F,45,46220,Black Card
M0597,2023-09-27,,F,27,46250,Classic
M0598,2022-08-06,,Other,44,46201,Classic
M0599,2024-07-14,,F,55,46203,Classic
M0600,2024-08-07,,M,28,46220,Classic
M0601,2022-08-10,2024-02-11,M,40,46220,Classic
M0602,2023-05-26,,F,51,46201,Black Card
M0603,2022-08-01,2024-05-19,F,35,46205,Classic
M0604,2023-08-18,,M,59,46203,Black Card
M0605,2022-11-03,2023-11-26,M,57,46205,Classic
M0606,2023-05-06,,M,21,46220,Black Card
M0607,2022-08-08,2022-10-27,F,43,46205,Black Card
M0608,2023-11-11,,F,30,46220,Black Card
M0609,2023-03-06,,M,64,46250,Black Card
M0610,2022-03-02,2023-08-11,F,38,46201,Classic
M0611,2024-06-18,,F,57,46203,Classic
M0612,2024-07-18,,M,43,46201,Classic
M0613,2022-12-12,,M,39,46250,Classic
M0614,2022-05-02,,F,58,46220,Classic
M0615,2024-02-07,,M,28,46205,Classic
M0616,2023-06-26,,F,35,46201,Black Card
M0617,2022-07-20,,Other,24,46220,Black Card
M0618,2023-03-28,,M,43,46203,Classic
M0619,2024-10-01,,F,58,46220,Classic
M0620,2022-02-02,,F,63,46250,Black Card
M0621,2024-01-21,,M,26,46205,Black Card
M0622,2024-08-06,,M,43,46201,Classic
M0623,2024-09-16,,M,30,46203,Black Card
M0624,2023-04-15,,F,19,46203,Classic
M0625,2023-07-24,,F,27,46250,Black Card
M0626,2023-04-11,2024-07-24,M,32,46205,Classic
M0627,2023-07-01,,F,61,46205,Classic
M0628,2024-10-25,,Other,43,46203,Classic
M0629,2023-09-07,,Other,22,46205,Classic
M0630,2022-03-08,,M,48,46250,Classic
M0631,2024-07-24,,M,23,46250,Black Card
M0632,2023-09-27,2024-07-25,F,22,46201,Black Card
M0633,2022-05-14,,F,38,46203,Black Card
M0634,2024-01-05,,F,61,46201,Classic
M0635,2022-08-25,,F,56,46250,Classic
M0636,2024-01-29,,M,57,46250,Black Card
M0637,2022-12-10,,Other,62,46220,Classic
M0638,2023-03-29,,M,24,46201,Black Card
M0639,2023-02-26,,M,36,46250,Classic
M0640,2023-04-21,,M,62,46203,Classic
M0641,2022-08-15,2022-12-28,F,42,46201,Black Card
M0642,2024-05-09,,M,42,46220,Classic
M0643,2023-03-26,,F,50,46220,Black Card
M0644,2024-03-22,,F,22,46250,Black Card
M0645,2023-09-26,,F,56,46203,Classic
M0646,2022-11-17,,M,19,46203,Classic
M0647,2023-08-23,,F,53,46205,Black Card
M0648,2023-08-05,,Other,26,46205,Black Card
M0649,2023-08-27,,M,36,46220,Classic
M0650,2024-09-29,,M,43,46205,Black Card
M0651,2023-08-03,2023-10-12,M,42,46220,Black Card
M0652,2023-02-05,,F,38,46201,Classic
M0653,2024-08-09,,F,28,46201,Classic
M0654,2023-09-29,,M,42,46205,Classic
M0655,2022-09-04,,Other,38,46220,Classic
M0656,2023-12-26,,F,18,46201,Classic
M0657,2023-06-14,2024-05-17,F,48,46220,Classic
M0658,2022-09-09,,F,22,46201,Classic
M0659,2023-12-30,,F,63,46203,Classic
M0660,2024-12-17,,F,25,46203,Black Card
M0661,2022-02-27,,F,18,46250,Classic
M0662,2022-08-30,2024-05-07,F,52,46250,Classic
M0663,2022-09-25,,F,28,46205,Classic
M0664,2024-01-14,2024-03-24,M,60,46220,Black Card
M0665,2023-12-04,,M,21,46201,Classic
M0666,2022-09-21,,F,54,46220,Classic
M0667,2024-07-19,,M,53,46205,Black Card
M0668,2024-10-03,,F,37,46250,Black Card
M0669,2023-10-22,,F,36,46205,Classic
M0670,2022-08-03,,Other,64,46205,Classic
M0671,2024-11-23,,M,32,46220,Classic
M0672,2022-07-26,,M,42,46203,Black Card
M0673,2022-12-12,,M,18,46250,Classic
M0674,2022-10-29,,Other,59,46220,Black Card
M0675,2023-11-25,,F,38,46220,Classic
M0676,2023-09-20,,M,40,46201,Black Card
M0677,2024-03-10,,F,45,46205,Black Card
M0678,2024-07-31,,F,49,46220,Black Card
M0679,2022-09-13,,M,19,46205,Classic
M0680,2023-01-27,,F,58,46250,Classic
M0681,2024-01-24,,M,37,46201,Classic
M0682,2023-06-16,,M,56,46201,Classic
M0683,2023-02-25,,F,37,46205,Classic
M0684,2023-04-13,,F,49,46203,Classic
M0685,2022-06-23,,M,64,46203,Black Card
M0686,2024-04-18,,M,35,46250,Black Card
M0687,2023-02-15,,M,32,46250,Classic
M0688,2022-11-13,,M,34,46201,Black Card
M0689,2023-06-08,,F,41,46201,Black Card
M0690,2023-03-22,,F,52,46250,Classic
M0691,2024-07-21,,F,50,46250,Black Card
M0692,2024-03-23,,F,39,46203,Classic
M0693,2024-06-29,,F,19,46205,Black Card
M0694,2023-05-31,,F,38,46220,Black Card
M0695,2024-12-23,,Other,20,46201,Black Card
M0696,2022-06-06,,F,46,46220,Classic
M0697,2023-08-08,,Other,37,46220,Classic
M0698,2024-07-19,,M,44,46203,Black Card
M0699,2024-07-08,,F,48,46250,Classic
M0700,2022-04-22,2022-08-16,M,45,46250,Classic
M0701,2024-07-23,,F,60,46205,Black Card
M0702,2022-05-11,,F,43,46203,Black Card
M0703,2023-03-15,,M,31,46203,Black Card
M0704,2024-12-04,,M,49,46203,Classic
M0705,2022-03-28,,F,57,46201,Black Card
M0706,2022-09-03,2023-06-15,Other,34,46203,Classic
M0707,2023-10-06,,M,59,46201,Black Card
M0708,2024-01-08,,M,22,46205,Black Card
M0709,2024-03-23,,F,51,46220,Classic
M0710,2023-06-25,,M,59,46201,Classic
M0711,2024-03-17,,M,20,46203,Black Card
M0712,2022-08-11,2023-07-03,Other,44,46220,Black Card
M0713,2024-12-10,,M,34,46220,Classic
M0714,2023-12-02,,F,45,46250,Classic
M0715,2024-10-02,,F,54,46250,Classic
M0716,2023-03-10,,M,60,46203,Classic
M0717,2024-08-09,,F,53,46205,Black Card
M0718,2023-09-08,,M,62,46201,Classic
M0719,2023-03-18,2024-04-17,F,53,46220,Classic
M0720,2023-12-06,2024-10-19,M,54,46220,Classic
M0721,2023-05-21,,M,52,46205,Classic
M0722,2023-08-21,,F,24,46201,Classic
M0723,2023-10-11,2023-11-10,M,22,46220,Black Card
M0724,2023-05-13,,F,31,46201,Classic
M0725,2023-06-13,2024-08-30,F,52,46220,Black Card
M0726,2024-08-15,,M,56,46220,Black Card
M0727,2024-02-04,,M,33,46205,Classic
M0728,2023-01-21,,M,45,46205,Classic
M0729,2024-10-31,,M,62,46220,Black Card
M0730,2024-11-10,,M,61,46250,Classic
M0731,2023-08-10,2024-03-17,M,63,46203,Classic
M0732,2023-03-03,,Other,30,46205,Black Card
M0733,2023-07-18,,Other,45,46220,Classic
M0734,2022-02-20,,M,51,46220,Classic
M0735,2024-06-23,,F,47,46205,Classic
M0736,2022-10-18,,M,28,46203,Black Card
M0737,2024-07-30,2024-10-05,M,23,46220,Black Card
M0738,2022-12-02,,M,30,46201,Classic
M0739,2024-11-24,,F,43,46220,Black Card
M0740,2023-04-16,2023-09-18,M,35,46220,Black Card
M0741,2023-06-21,,M,26,46201,Classic
M0742,2023-07-03,,M,37,46250,Classic
M0743,2024-10-25,,F,48,46220,Black Card
M0744,2022-01-18,2022-07-20,F,56,46205,Classic
M0745,2023-05-21,2024-10-26,M,63,46205,Black Card
M0746,2022-11-03,2024-02-07,M,35,46203,Classic
M0747,2023-06-27,,M,34,46203,Classic
M0748,2023-01-19,,F,19,46201,Black Card
M0749,2022-04-18,2024-04-03,F,41,46220,Black Card
M0750,2024-07-29,,F,58,46220,Classic
M0751,2022-09-01,,M,55,46201,Black Card
M0752,2023-08-19,,M,42,46201,Classic
M0753,2024-08-31,,M,21,46203,Black Card
M0754,2023-07-19,,M,36,46201,Black Card
M0755,2023-11-02,,F,40,46203,Classic
M0756,2022-12-17,2023-12-13,F,45,46220,Black Card
M0757,2023-07-25,,F,18,46220,Black Card
M0758,2024-04-30,,M,28,46250,Black Card
M0759,2024-10-08,,F,23,46220,Classic
M0760,2024-11-21,,M,33,46220,Classic
M0761,2024-05-02,,F,64,46205,Black Card
M0762,2024-11-07,,F,64,46205,Black Card
M0763,2023-01-29,,F,61,46220,Classic
M0764,2024-12-28,,M,51,46203,Classic
M0765,2024-02-21,,M,51,46220,Classic
M0766,2023-09-16,,F,29,46250,Classic
M0767,2022-11-20,,Other,35,46201,Classic
M0768,2022-01-14,,F,56,46205,Black Card
M0769,2023-05-06,,F,29,46220,Classic
M0770,2023-10-12,,M,45,46201,Black Card
M0771,2022-01-04,,F,36,46201,Black Card
M0772,2022-06-23,,Other,23,46250,Classic
M0773,2024-04-07,,F,55,46205,Classic
M0774,2023-06-16,,M,57,46203,Black Card
M0775,2024-11-12,,M,47,46220,Black Card
M0776,2022-06-27,2022-12-04,F,21,46220,Classic
M0777,2023-07-27,2024-02-07,F,37,46250,Black Card
M0778,2024-04-29,,F,60,46201,Classic
M0779,2024-04-16,,F,56,46203,Classic
M0780,2024-10-14,,F,38,46205,Black Card
M0781,2024-07-16,,M,31,46203,Classic
M0782,2022-10-09,,M,47,46205,Classic
M0783,2024-07-08,,Other,25,46205,Black Card
M0784,2022-07-19,2023-02-08,F,63,46203,Black Card
M0785,2023-02-23,2024-08-09,M,59,46220,Classic
M0786,2024-08-04,,M,34,46250,Classic
M0787,2024-10-05,,M,62,46220,Classic
M0788,2023-07-31,,F,55,46201,Black Card
M0789,2022-06-19,,F,60,46250,Classic
M0790,2023-08-01,,M,47,46220,Classic
M0791,2024-06-13,,F,41,46201,Classic
M0792,2023-10-09,2024-02-06,F,26,46203,Classic
M0793,2024-05-30,,F,61,46203,Black Card
M0794,2024-04-15,2024-10-12,F,61,46205,Classic
M0795,2022-10-26,2023-12-12,M,34,46250,Black Card
M0796,2023-03-08,,M,36,46201,Black Card
M0797,2024-11-25,,M,60,46201,Classic
M0798,2024-09-08,,F,52,46220,Classic
M0799,2023-11-08,,F,39,46203,Black Card
M0800,2022-05-01,,F,55,46205,Classic
M0801,2024-04-26,,F,20,46201,Black Card
M0802,2023-08-26,2023-10-01,F,19,46203,Black Card
M0803,2024-03-01,,F,22,46250,Black Card
M0804,2022-09-10,2024-01-20,F,39,46203,Classic
M0805,2023-02-20,2024-07-13,M,44,46220,Black Card
M0806,2024-12-20,,F,24,46220,Classic
M0807,2022-09-29,,M,40,46201,Black Card
M0808,2024-05-07,,Other,36,46205,Classic
M0809,2024-02-25,,F,37,46205,Classic
M0810,2022-10-28,2024-09-10,M,39,46201,Black Card
M0811,2022-03-27,,M,35,46203,Black Card
M0812,2022-05-05,,F,45,46205,Classic
M0813,2022-07-30,,F,41,46203,Black Card
M0814,2023-09-13,,F,27,46220,Classic
M0815,2022-05-07,,M,58,46201,Black Card
M0816,2024-01-29,,M,30,46203,Black Card
M0817,2022-12-13,,F,54,46220,Classic
M0818,2024-07-01,,M,61,46203,Black Card
M0819,2024-07-08,,F,32,46250,Black Card
M0820,2024-03-04,2024-11-07,F,41,46220,Black Card
M0821,2024-11-26,,M,40,46205,Classic
M0822,2024-03-20,,F,40,46203,Classic
M0823,2023-02-28,,M,44,46250,Classic
M0824,2022-03-23,2023-05-21,F,60,46203,Classic
M0825,2022-07-16,2024-03-27,M,24,46250,Classic
M0826,2022-01-09,,F,33,46203,Black Card
M0827,2022-03-31,,M,45,46220,Black Card
M0828,2022-02-11,,F,29,46220,Classic
M0829,2022-02-27,,M,33,46203,Classic
M0830,2023-02-05,,M,20,46220,Black Card
M0831,2023-12-09,,M,18,46205,Classic
M0832,2022-09-01,2023-06-24,F,18,46203,Classic
M0833,2022-03-07,2023-10-30,F,55,46250,Classic
M0834,2023-05-08,,F,57,46250,Black Card
M0835,2022-02-13,,F,60,46220,Classic
M0836,2022-08-06,2024-03-14,F,37,46201,Black Card
M0837,2024-06-18,,F,48,46203,Black Card
M0838,2022-01-08,,F,64,46203,Black Card
M0839,2023-10-25,,M,62,46220,Black Card
M0840,2022-06-16,,M,35,46201,Black Card
M0841,2023-05-07,,F,59,46205,Black Card
M0842,2022-08-10,,F,42,46203,Classic
M0843,2022-12-02,,M,34,46205,Black Card
M0844,2024-02-08,,F,59,46203,Black Card
M0845,2024-08-22,,F,42,46205,Classic
M0846,2022-05-03,,M,21,46220,Classic
M0847,2023-05-04,2024-11-02,M,60,46250,Classic
M0848,2022-12-27,,F,22,46220,Black Card
M0849,2024-06-09,,M,43,46201,Classic
M0850,2023-08-28,,F,55,46203,Black Card
M0851,2023-12-12,,M,55,46250,Black Card
M0852,2023-06-13,,F,40,46203,Black Card
M0853,2022-10-27,,M,27,46250,Black Card
M0854,2023-09-07,,F,64,46203,Classic
M0855,2023-11-22,,F,29,46201,Black Card
M0856,2024-11-14,,M,19,46205,Black Card
M0857,2024-12-21,,F,18,46203,Classic
M0858,2023-07-08,,Other,32,46203,Classic
M0859,2023-08-06,,Other,40,46201,Classic
M0860,2022-01-12,,F,28,46250,Classic
M0861,2023-04-28,2023-10-13,M,39,46220,Black Card
M0862,2022-03-27,2022-08-09,Other,38,46201,Classic
M0863,2024-06-21,,F,62,46203,Black Card
M0864,2024-01-04,,M,25,46250,Black Card
M0865,2022-05-27,2023-01-16,M,36,46250,Black Card
M0866,2024-10-26,,M,18,46250,Black Card
M0867,2024-02-01,,F,35,46201,Classic
M0868,2023-12-13,,Other,19,46220,Black Card
M0869,2024-09-09,,F,45,46205,Classic
M0870,2023-01-28,,M,56,46203,Black Card
M0871,2024-01-07,,F,29,46201,Classic
M0872,2022-09-28,,M,36,46205,Black Card
M0873,2024-12-07,,M,32,46205,Classic
M0874,2023-10-05,,F,35,46205,Black Card
M0875,2022-12-30,,M,56,46201,Classic
M0876,2024-11-04,,F,52,46201,Classic
M0877,2024-05-01,,F,61,46205,Black Card
M0878,2024-11-21,,M,44,46203,Classic
M0879,2022-11-17,2024-02-16,M,48,46201,Black Card
M0880,2024-09-15,,M,51,46201,Black Card
M0881,2022-12-14,2024-11-05,F,31,46250,Classic
M0882,2023-03-27,,F,43,46250,Black Card
M0883,2022-04-07,,F,43,46205,Black Card
M0884,2022-10-02,,F,29,46220,Classic
M0885,2023-10-11,,F,56,46201,Classic
M0886,2024-10-18,,M,34,46201,Classic
M0887,2022-09-05,2023-08-30,F,48,46201,Black Card
M0888,2024-11-03,,M,27,46203,Black Card
M0889,2024-10-20,,F,38,46205,Classic
M0890,2024-08-29,,F,59,46205,Black Card
M0891,2024-11-05,,M,29,46203,Classic
M0892,2023-07-14,,M,32,46205,Classic
M0893,2022-01-20,,F,19,46203,Black Card
M0894,2023-03-25,,F,43,46203,Classic
M0895,2023-08-10,,F,52,46250,Classic
M0896,2023-01-07,,M,26,46250,Classic
M0897,2023-12-30,,M,21,46203,Black Card
M0898,2022-08-20,,F,57,46201,Classic
M0899,2024-03-17,,M,44,46203,Black Card
M0900,2023-02-07,,M,29,46250,Black Card
M0901,2023-08-15,,M,28,46250,Classic
M0902,2024-04-26,,F,43,46203,Black Card
M0903,2024-07-30,,F,63,46250,Classic
M0904,2024-04-12,,F,55,46205,Classic
M0905,2024-06-24,,Other,50,46203,Black Card
M0906,2023-07-02,,M,30,46220,Black Card
M0907,2023-05-07,,F,59,46220,Classic
M0908,2024-06-27,,F,51,46201,Classic
M0909,2023-02-25,,F,59,46250,Classic
M0910,2022-01-20,,M,59,46203,Classic
M0911,2023-05-02,,Other,34,46203,Black Card
M0912,2024-02-25,,M,40,46203,Classic
M0913,2023-05-24,,F,51,46205,Classic
M0914,2024-03-19,,M,59,46220,Black Card
M0915,2023-10-15,,M,40,46220,Classic
M0916,2024-02-23,,F,45,46203,Classic
M0917,2023-01-14,2023-05-30,M,53,46205,Classic
M0918,2024-08-01,,Other,25,46220,Classic
M0919,2022-08-30,,M,52,46203,Classic
M0920,2023-05-03,,F,41,46201,Classic
M0921,2023-03-08,2023-08-26,F,22,46220,Classic
M0922,2024-03-18,,M,54,46201,Black Card
M0923,2022-08-09,,M,42,46201,Classic
M0924,2024-08-07,,F,50,46201,Classic
M0925,2023-04-07,2024-07-02,F,58,46250,Black Card
M0926,2024-05-18,,M,37,46250,Classic
M0927,2024-05-07,,Other,53,46201,Classic
M0928,2023-01-21,,M,24,46203,Classic
M0929,2023-12-29,,M,36,46201,Classic
M0930,2023-09-13,,M,23,46250,Black Card
M0931,2023-06-29,,F,33,46205,Black Card
M0932,2024-12-01,,M,22,46203,Classic
M0933,2023-04-04,,F,37,46220,Classic
M0934,2022-10-29,2024-05-24,F,33,46205,Black Card
M0935,2024-12-20,,M,18,46201,Black Card
M0936,2023-08-18,,F,54,46201,Black Card
M0937,2022-03-25,,F,22,46250,Classic
M0938,2023-11-13,,F,47,46220,Classic
M0939,2024-11-02,,M,33,46203,Classic
M0940,2023-11-11,,F,34,46203,Classic
M0941,2024-11-30,,F,33,46250,Black Card
M0942,2022-12-06,,M,30,46205,Classic
M0943,2024-07-02,,M,32,46220,Black Card
M0944,2024-08-21,,F,54,46205,Black Card
M0945,2023-01-23,,M,51,46250,Classic
M0946,2024-11-27,,M,44,46203,Black Card
M0947,2022-07-14,,F,55,46201,Black Card
M0948,2024-01-11,,M,31,46250,Classic
M0949,2022-08-18,,F,60,46203,Black Card
M0950,2022-06-10,,M,63,46220,Black Card
M0951,2024-11-07,,M,53,46220,Classic
M0952,2024-03-16,,M,44,46205,Black Card
M0953,2024-07-27,,M,39,46205,Classic
M0954,2024-12-07,,F,18,46201,Classic
M0955,2024-03-28,,F,30,46250,Black Card
M0956,2023-03-13,,F,19,46250,Classic
M0957,2024-07-30,,M,39,46205,Black Card
M0958,2022-03-05,2022-07-22,F,41,46203,Classic
M0959,2022-07-19,,M,20,46203,Classic
M0960,2023-12-28,,M,60,46201,Black Card
M0961,2024-06-07,,Other,58,46203,Classic
M0962,2024-03-26,2024-11-12,F,61,46250,Classic
M0963,2022-11-16,2024-07-25,M,22,46201,Black Card
M0964,2024-02-04,,F,26,46220,Classic
M0965,2023-06-23,,Other,31,46201,Classic
M0966,2024-05-17,,F,52,46220,Black Card
M0967,2022-05-19,,M,36,46220,Black Card
M0968,2023-09-20,,M,22,46205,Black Card
M0969,2024-11-12,,F,34,46203,Black Card
M0970,2022-08-27,2024-12-08,F,24,46220,Classic
M0971,2023-02-03,,Other,26,46201,Classic
M0972,2022-12-24,,F,40,46220,Classic
M0973,2022-08-16,,Other,19,46203,Classic
M0974,2023-02-13,,M,59,46205,Classic
M0975,2022-12-21,,F,58,46203,Black Card
M0976,2024-05-07,,F,20,46205,Black Card
M0977,2024-04-19,,F,62,46203,Black Card
M0978,2022-10-26,,F,51,46220,Classic
M0979,2023-09-09,,M,37,46205,Black Card
M0980,2024-09-23,,F,43,46250,Black Card
M0981,2024-12-09,,F,47,46250,Classic
M0982,2024-05-13,,M,35,46203,Classic
M0983,2023-01-02,,Other,30,46201,Classic
M0984,2024-07-31,,Other,38,46201,Classic
M0985,2022-08-03,,Other,60,46201,Classic
M0986,2022-09-12,,M,39,46220,Black Card
M0987,2024-05-10,,M,49,46205,Classic
M0988,2024-02-07,,M,43,46201,Black Card
M0989,2023-12-13,,M,33,46250,Black Card
M0990,2023-06-27,2024-08-05,M,27,46220,Black Card
M0991,2023-04-29,,F,32,46203,Classic
M0992,2023-06-10,,F,57,46250,Black Card
M0993,2022-10-20,,F,62,46250,Classic
M0994,2023-12-25,,M,28,46205,Black Card
M0995,2022-10-13,,M,63,46205,Classic
M0996,2023-07-09,,M,62,46201,Classic
M0997,2023-12-13,,M,40,46201,Black Card
M0998,2024-09-28,,F,22,46203,Classic
M0999,2024-12-30,,M,59,46220,Black Card
M1000,2022-02-16,,F,19,46205,Black Card
M1001,2022-12-03,,F,18,46205,Classic
M1002,2023-12-08,2024-08-08,M,26,46201,Black Card
M1003,2022-08-01,,F,20,46201,Classic
M1004,2023-09-03,,M,20,46205,Classic
M1005,2024-12-06,,F,54,46250,Classic
M1006,2022-10-17,,M,20,46203,Classic
M1007,2023-03-02,,M,32,46201,Classic
M1008,2023-11-18,,F,45,46201,Classic
M1009,2022-08-10,,Other,62,46205,Classic
M1010,2023-03-25,,F,55,46205,Classic
M1011,2022-05-21,,F,49,46205,Classic
M1012,2023-09-09,,F,55,46250,Black Card
M1013,2023-09-11,,M,20,46203,Classic
M1014,2023-09-10,,F,24,46220,Black Card
M1015,2022-03-24,2023-02-16,M,24,46205,Classic
M1016,2023-08-01,,F,28,46250,Black Card
M1017,2023-06-17,,F,50,46220,Black Card
M1018,2022-07-03,,F,18,46201,Classic
M1019,2023-05-02,,M,19,46201,Classic
M1020,2023-09-23,,F,26,46220,Classic
M1021,2023-01-22,,M,31,46205,Classic
M1022,2024-10-01,,M,30,46205,Classic
M1023,2023-05-21,,M,24,46205,Classic
M1024,2022-10-21,2023-03-09,F,27,46203,Classic
M1025,2022-07-12,,Other,35,46201,Black Card
M1026,2022-06-04,2022-08-17,F,59,46220,Classic
M1027,2022-02-22,,M,32,46203,Classic
M1028,2022-11-21,2023-04-18,F,50,46201,Black Card
M1029,2022-11-24,,M,56,46205,Classic
M1030,2023-10-02,,M,52,46201,Classic
M1031,2023-02-04,,M,28,46203,Classic
M1032,2022-03-13,,M,21,46220,Black Card
M1033,2022-07-13,2024-06-19,Other,56,46203,Classic
M1034,2022-10-04,,M,32,46220,Classic
M1035,2022-04-18,2022-09-01,F,49,46220,Classic
M1036,2022-11-01,2024-05-03,F,45,46205,Black Card
M1037,2022-04-12,,F,25,46205,Classic
M1038,2022-03-11,2023-03-14,Other,51,46203,Black Card
M1039,2022-06-12,,M,30,46220,Black Card
M1040,2024-06-30,,M,49,46250,Classic
M1041,2023-08-08,,F,60,46203,Black Card
M1042,2023-01-01,2024-12-26,M,46,46250,Classic
M1043,2022-06-07,,F,57,46201,Classic
M1044,2024-07-15,,M,53,46201,Black Card
M1045,2023-07-21,,F,35,46220,Black Card
M1046,2024-09-18,,M,56,46201,Classic
M1047,2022-10-18,,M,37,46250,Classic
M1048,2022-07-13,2022-11-03,F,20,46201,Classic
M1049,2023-03-07,,F,18,46250,Classic
M1050,2023-07-07,,M,57,46205,Black Card
M1051,2022-03-19,2022-12-31,F,20,46250,Classic
M1052,2023-11-25,,M,22,46250,Classic
M1053,2024-12-17,,M,37,46220,Classic
M1054,2022-03-23,2024-03-24,M,30,46220,Classic
M1055,2023-08-12,,Other,61,46220,Classic
M1056,2024-09-28,,M,26,46205,Classic
M1057,2024-12-06,,F,36,46203,Classic
M1058,2024-01-28,,M,55,46203,Black Card
M1059,2022-01-17,,F,35,46220,Black Card
M1060,2022-08-04,,F,44,46205,Classic
M1061,2024-01-22,2024-05-17,M,35,46250,Classic
M1062,2023-01-25,,M,29,46203,Classic
M1063,2023-11-21,,Other,45,46203,Classic
M1064,2022-01-13,,F,46,46220,Black Card
M1065,2022-09-12,,M,25,46220,Classic
M1066,2022-11-20,2024-04-26,M,42,46203,Black Card
M1067,2022-08-26,2023-01-28,Other,52,46205,Black Card
M1068,2022-08-28,2023-11-05,M,33,46220,Classic
M1069,2023-10-14,,M,27,46220,Classic
M1070,2024-03-24,,M,56,46250,Classic
M1071,2022-06-03,,F,51,46205,Black Card
M1072,2024-12-11,,M,64,46203,Black Card
M1073,2022-06-03,2024-11-08,Other,44,46205,Classic
M1074,2022-01-07,2024-04-28,M,30,46250,Classic
M1075,2023-08-06,,M,33,46205,Classic
M1076,2022-09-09,,F,44,46205,Classic
M1077,2023-02-07,,F,50,46220,Classic
M1078,2024-06-30,,M,62,46203,Classic
M1079,2023-09-28,,M,43,46203,Classic
M1080,2022-02-24,,M,63,46250,Classic
M1081,2024-09-10,2024-12-07,M,61,46205,Classic
M1082,2022-04-24,2022-08-05,Other,36,46205,Classic
M1083,2022-05-29,2024-03-13,F,35,46201,Black Card
M1084,2023-11-27,,M,62,46220,Classic
M1085,2024-03-20,,F,50,46203,Black Card
M1086,2023-02-16,,F,23,46205,Black Card
M1087,2022-11-30,2023-11-19,F,64,46250,Classic
M1088,2022-08-15,2023-10-28,M,59,46220,Classic
M1089,2024-06-18,2024-10-31,F,18,46203,Classic
M1090,2022-08-29,,M,44,46250,Classic
M1091,2022-09-19,,F,45,46201,Black Card
M1092,2022-10-09,2024-02-07,F,20,46203,Black Card
M1093,2022-09-09,2024-12-05,F,42,46220,Classic
M1094,2024-03-10,,M,57,46250,Classic
M1095,2024-01-05,2024-12-18,M,34,46250,Black Card
M1096,2023-07-28,2023-11-29,F,29,46201,Classic
M1097,2022-07-29,,F,53,46220,Classic
M1098,2022-06-04,2024-07-30,F,23,46203,Classic
M1099,2024-11-24,,M,27,46203,Classic
M1100,2024-11-09,,F,49,46250,Black Card
M1101,2023-07-25,,F,53,46220,Classic
M1102,2022-07-20,,M,26,46220,Black Card
M1103,2023-12-02,,F,41,46250,Classic
M1104,2024-10-04,,M,48,46250,Black Card
M1105,2024-11-07,,M,55,46220,Black Card
M1106,2022-06-29,,F,20,46201,Classic
M1107,2022-10-29,,M,52,46203,Classic
M1108,2022-08-09,,F,43,46201,Classic
M1109,2022-04-15,,F,46,46250,Classic
M1110,2024-03-26,2024-05-10,Other,31,46201,Black Card
M1111,2023-05-23,2024-09-14,Other,44,46201,Black Card
M1112,2022-01-02,2022-04-26,Other,19,46220,Black Card
M1113,2022-07-05,,F,64,46250,Classic
M1114,2024-10-26,,Other,39,46201,Black Card
M1115,2023-10-13,,M,58,46250,Black Card
M1116,2023-10-18,2024-07-06,M,38,46205,Classic
M1117,2024-07-08,,M,24,46201,Classic
M1118,2022-05-27,,Other,33,46201,Black Card
M1119,2023-05-14,2023-09-12,M,39,46201,Classic
M1120,2023-07-16,2024-01-08,Other,33,46250,Classic
M1121,2022-11-27,,M,50,46203,Black Card
M1122,2023-09-18,,F,63,46201,Classic
M1123,2023-07-22,2024-04-01,F,18,46201,Classic
M1124,2022-05-27,,F,44,46203,Classic
M1125,2023-11-14,2024-11-11,M,22,46205,Black Card
M1126,2024-09-23,,M,63,46250,Classic
M1127,2022-12-27,,M,64,46201,Classic
M1128,2022-12-29,,M,40,46205,Black Card
M1129,2023-08-26,,F,41,46201,Classic
M1130,2023-11-23,,M,20,46205,Classic
M1131,2024-09-30,,F,59,46203,Classic
M1132,2024-06-16,,F,55,46220,Classic
M1133,2023-01-06,,F,48,46201,Classic
M1134,2023-03-15,,Other,23,46205,Classic
M1135,2024-07-28,,F,37,46205,Classic
M1136,2024-02-20,2024-10-08,F,54,46203,Classic
